group,symbol,value,change
傳產-水泥,1101,287956,0.88
傳產-水泥,1102,409444,0.69
傳產-水泥,1103,3419,0
傳產-水泥,1104,9785,-0.5
傳產-水泥,1108,785,0.34
傳產-水泥,1109,1427,0.32
傳產-水泥,1110,857,1.22
傳產-食品,1201,1750,0
傳產-食品,1203,338,0.89
傳產-食品,1210,80769,-0.39
傳產-食品,1213,23,0.94
傳產-食品,1215,547535,0.74
傳產-食品,1216,2150984,2.68
傳產-食品,1217,1974,0.48
傳產-食品,1218,4557,-0.28
傳產-食品,1219,1168,0
傳產-食品,1220,1140,0.4
傳產-食品,1225,1427,-0.17
傳產-食品,1227,7947,-0.16
傳產-食品,1229,30153,-0.42
傳產-食品,1231,11266,0.61
傳產-食品,1232,9306,0.35
傳產-食品,1233,115,0.94
傳產-食品,1234,3005,-0.26
傳產-食品,1235,100,0.11
傳產-食品,1236,3151,0.38
傳產-食品,1240,750,0
傳產-食品,1256,2562,1.08
傳產-觀光,1259,189,0.65
傳產-食品,1264,2376,0
傳產-觀光,1268,2892,0
傳產-食品,1294,3550,1.03
傳產-生技,1295,7518,-1.58
傳產-塑膠,1301,212450,0
傳產-塑膠,1303,2204977,-1.03
傳產-塑膠,1304,22507,-1.33
傳產-塑膠,1305,12646,-1.79
傳產-塑膠,1307,7942,-0.15
傳產-塑膠,1308,12098,-1.49
傳產-塑膠,1309,7848,-1.32
傳產-塑膠,1310,5804,-0.47
傳產-塑膠,1312,73620,-4.35
傳產-塑膠,1313,23287,0
傳產-塑膠,1314,70272,-0.63
傳產-塑膠,1315,1110,-0.31
傳產-營建,1316,60562,-2.47
傳產-汽車零組件,1319,146499,0.73
傳產-塑膠,1321,3043,0
傳產-塑膠,1323,566,0.26
傳產-塑膠,1324,499,1.45
傳產-塑膠,1325,5585,0.17
傳產-塑膠,1326,158001,-0.47
電子上游-連接元件,1336,702,-0.32
傳產-塑膠,1337,548,-0.61
傳產-汽車零組件,1338,1062,0.24
傳產-汽車零組件,1339,2904,0.11
傳產-塑膠,1340,5934,2.66
傳產-塑膠,1341,434,0.17
傳產-塑膠,1342,5474,0.46
傳產-紡織纖維,1402,83359,-0.36
傳產-紡織纖維,1409,45200,-0.33
傳產-紡織纖維,1410,447,-0.29
傳產-紡織纖維,1413,107,0.2
傳產-紡織纖維,1414,5485,1.75
軟體-系統整合,1416,2219,0.42
傳產-紡織纖維,1417,647,0
傳產-紡織纖維,1418,198,0
傳產-紡織纖維,1419,14212,-0.15
傳產-紡織纖維,1423,677,0.79
傳產-運動休閒,1432,12894,-1.1
傳產-紡織纖維,1434,20757,-1.26
傳產-其他,1435,12,0
傳產-營建,1436,18342,0.92
傳產-其他,1437,3339,0
傳產-營建,1438,1645,-1.88
傳產-營建,1439,684,-0.66
傳產-紡織纖維,1440,17335,-1.49
傳產-紡織纖維,1441,221,-0.47
傳產-營建,1442,223109,-0.65
傳產-航運,1443,81,0
傳產-紡織纖維,1444,2287,-0.16
傳產-紡織纖維,1445,191,-0.75
傳產-紡織纖維,1446,1891,0.83
傳產-紡織纖維,1447,2517,-0.18
傳產-紡織纖維,1449,13084,2.73
傳產-紡織纖維,1451,593,-0.29
傳產-紡織纖維,1452,361,0.42
傳產-營建,1453,397,-0.39
傳產-紡織纖維,1454,611,-0.76
傳產-紡織纖維,1455,5986,0
傳產-營建,1456,26,1.17
傳產-紡織纖維,1457,905,0
傳產-紡織纖維,1459,869,0
傳產-紡織纖維,1460,6580,0.79
傳產-紡織纖維,1463,1741,-1.27
傳產-紡織纖維,1464,2488,0
傳產-紡織纖維,1465,1265,-0.4
傳產-紡織纖維,1466,3282,0
傳產-紡織纖維,1467,677,0.28
傳產-紡織纖維,1468,376,0
傳產-紡織纖維,1470,186,0.87
電子中游-電源供應器,1471,1662,0.57
傳產-營建,1472,7018,-0.23
傳產-紡織纖維,1473,399,0
傳產-紡織纖維,1474,466,-0.45
傳產-紡織纖維,1475,1444,-0.33
傳產-紡織纖維,1476,187320,-0.52
傳產-紡織纖維,1477,418510,-0.84
傳產-電機,1503,150612,1.17
傳產-電機,1504,2258243,0.23
傳產-汽車零組件,1506,913,-0.43
傳產-汽車零組件,1512,407,1.47
傳產-電機,1513,164550,0.67
傳產-電機,1514,147460,0.98
傳產-運動休閒,1515,4754,0.91
傳產-其他,1516,4223,0
傳產-運動休閒,1517,1175,0.45
傳產-電機,1519,1737261,0.26
傳產-汽車零組件,1521,267,-0.62
傳產-汽車零組件,1522,52385,0.32
傳產-汽車零組件,1524,16528,-0.53
傳產-汽車零組件,1525,768,-0.16
傳產-電機,1526,817,0
傳產-電機,1527,5528,-0.61
傳產-電機,1528,338953,9.86
傳產-電機,1529,6317,0.53
傳產-電機,1530,866,0.18
傳產-電機,1531,966,0.42
傳產-鋼鐵,1532,6954,-0.37
傳產-汽車零組件,1533,2333,-1.23
傳產-電機,1535,953,0.57
傳產-汽車零組件,1536,65822,-0.87
傳產-汽車零組件,1537,7089,-0.8
傳產-電機,1538,499,2.53
傳產-電機,1539,587,-0.29
傳產-電機,1540,5446,0.22
傳產-電機,1541,24,0.64
傳產-電機,1558,4351,-0.97
電子上游-IC-代工,1560,676031,1.08
傳產-汽車零組件,1563,63927,2.69
傳產-生技,1565,34933,-0.85
傳產-汽車零組件,1568,2274,1.81
電子中游-機殼,1569,13648,0.18
傳產-電機,1570,3553,0
傳產-電機,1580,2547,-0.37
電子上游-連接元件,1582,16573,-0.46
傳產-電機,1583,108,0
傳產-鋼鐵,1584,9508,1.34
傳產-汽車零組件,1586,6624,-0.98
傳產-汽車,1587,125193,0.95
傳產-電機,1589,12552,0.59
傳產-電機,1590,84708,-1.05
傳產-電機,1591,2283,0.1
傳產-運動休閒,1593,485,-0.17
電子上游-PCB-材料設備,1595,3955,1.62
傳產-電機,1597,5659,-0.55
傳產-運動休閒,1598,1719,-0.48
傳產-汽車零組件,1599,1838,0.96
傳產-電線電纜,1603,24238,1.89
電子下游-消費電子,1604,2237,-0.2
傳產-電線電纜,1605,6703778,5.69
傳產-電線電纜,1608,1382463,6.61
傳產-電線電纜,1609,365805,2.24
傳產-照明,1611,34725,3.53
傳產-電線電纜,1612,43454,1.89
電子下游-消費電子,1614,1682,0
傳產-電線電纜,1615,12724,2.26
傳產-電線電纜,1616,65172,2.65
傳產-電線電纜,1617,6349,2.45
傳產-電線電纜,1618,84633,4.3
電子下游-消費電子,1626,1130,0.44
傳產-食品,1702,8058,0.51
傳產-生技,1707,4822,0
傳產-化學工業,1708,15408,-0.3
傳產-化學工業,1709,2403,0
傳產-化學工業,1710,5276,0.83
傳產-化學工業,1711,43259,0
傳產-化學工業,1712,14466,0
傳產-化學工業,1713,4587,1.49
傳產-化學工業,1714,9725,-0.61
傳產-化學工業,1717,168344,-0.86
傳產-化學工業,1718,22865,-0.29
傳產-生技,1720,11201,-0.83
傳產-化學工業,1721,72478,9.41
傳產-化學工業,1722,53117,-0.21
傳產-化學工業,1723,56479,-2.04
傳產-化學工業,1725,2346,-0.74
傳產-化學工業,1726,936,0.13
傳產-化學工業,1727,407071,-0.9
傳產-化學工業,1730,1082,0.19
傳產-生技,1731,636,0.46
傳產-化學工業,1732,3761,-0.35
傳產-生技,1733,3759,0.16
傳產-生技,1734,2687,-0.16
傳產-化學工業,1735,17125,2.13
傳產-運動休閒,1736,31234,0.69
傳產-食品,1737,2000,0.79
傳產-化學工業,1742,554,0.37
傳產-生技,1752,876,-0.66
傳產-生技,1760,4988,-0.47
傳產-生技,1762,1143,0.2
傳產-化學工業,1773,19265,0
傳產-化學工業,1776,536,0.32
傳產-生技,1777,988,-0.14
傳產-生技,1781,635,-0.9
傳產-生技,1783,1249,-0.94
傳產-生技,1784,390036,2.25
傳產-其他,1785,2684171,-4.86
傳產-生技,1786,35131,-1.87
傳產-生技,1788,1671,0
傳產-生技,1789,3890,-0.29
傳產-生技,1795,265213,0
傳產-生技,1796,243,-0.93
傳產-生技,1799,11997,9.75
傳產-玻璃陶瓷,1802,2328546,0.57
傳產-營建,1805,1487,-0.42
傳產-玻璃陶瓷,1806,2025,-0.54
傳產-營建,1808,116797,3.38
傳產-玻璃陶瓷,1809,3808,-0.29
傳產-玻璃陶瓷,1810,14246,0.87
傳產-生技,1813,84,0
電子上游-PCB-材料設備,1815,12066801,1.42
傳產-玻璃陶瓷,1817,264,-0.13
傳產-紙業,1903,7690,1.1
傳產-紙業,1904,13206,-0.57
傳產-紙業,1905,10185,-0.43
傳產-紙業,1906,441,0.85
傳產-紙業,1907,16066,0.2
傳產-紙業,1909,12157,0.6
傳產-鋼鐵,2002,349183,1.62
傳產-鋼鐵,2006,125383,-0.78
傳產-鋼鐵,2007,867,0.41
傳產-鋼鐵,2008,1102,1.59
傳產-鋼鐵,2009,1782900,10
傳產-鋼鐵,2010,17472,-0.24
傳產-鋼鐵,2012,1590,2
傳產-鋼鐵,2013,2127,0.6
傳產-鋼鐵,2014,129862,2.57
傳產-鋼鐵,2015,26505,-0.81
傳產-鋼鐵,2017,3454,1.07
傳產-鋼鐵,2020,5301,1.07
傳產-鋼鐵,2022,2041,-0.73
傳產-鋼鐵,2023,16775,0
傳產-鋼鐵,2024,78,0.98
傳產-鋼鐵,2025,1091,-1.91
傳產-鋼鐵,2027,1027996,1.58
傳產-鋼鐵,2028,1205,0.89
傳產-鋼鐵,2029,1964,1.2
傳產-鋼鐵,2030,6208,0.36
傳產-鋼鐵,2031,8503,0.27
傳產-鋼鐵,2032,5795,1.04
傳產-鋼鐵,2033,4723,-1.88
傳產-鋼鐵,2034,51780,1.21
傳產-鋼鐵,2035,0,-0.18
傳產-鋼鐵,2038,3708,1.41
傳產-電機,2049,168185,-1.02
電子中游-金屬製品,2059,1066867,-0.54
傳產-電線電纜,2061,7828,3.6
傳產-其他,2062,4385,-1.64
傳產-鋼鐵,2063,17719,-0.83
傳產-鋼鐵,2064,12,0
傳產-鋼鐵,2065,565,0.35
傳產-汽車零組件,2066,818,0
傳產-電機,2067,768,-0.9
傳產-鋼鐵,2069,4437,1.69
傳產-電機,2070,1071,0.13
傳產-電線電纜,2073,0,0
傳產-橡膠,2101,26316,0.53
傳產-橡膠,2102,5480,1.03
傳產-橡膠,2103,10359,-0.32
傳產-橡膠,2104,18048,-1.31
傳產-橡膠,2105,141985,-0.34
傳產-橡膠,2106,7301,-0.25
傳產-橡膠,2107,2192,0.2
傳產-橡膠,2108,4348,0.44
傳產-橡膠,2109,1860,0
傳產-橡膠,2114,283,0.11
傳產-汽車零組件,2115,2527,0
傳產-汽車,2201,145073,-2.15
傳產-汽車,2204,42651,-1.48
傳產-汽車,2206,47476,0
傳產-汽車,2207,259580,-0.18
傳產-航運,2208,39673,-0.5
傳產-鋼鐵,2211,524449,0.98
傳產-鋼鐵,2221,564,0
傳產-汽車,2227,1169,0.18
傳產-汽車零組件,2228,130438,2.84
傳產-汽車零組件,2230,29729,-0.74
傳產-汽車零組件,2231,29141,-1.47
傳產-汽車零組件,2233,235004,3.71
傳產-汽車零組件,2235,16,0
傳產-汽車零組件,2236,57687,0.87
傳產-汽車零組件,2239,2560,-4.48
傳產-汽車零組件,2241,11236,-0.81
傳產-汽車零組件,2243,1750,1.72
傳產-汽車,2247,34085,-0.88
傳產-汽車零組件,2248,147,-0.71
傳產-汽車零組件,2250,5812,1.67
傳產-汽車,2254,3322,0.68
傳產-汽車,2258,172567,7.03
電子中游-電源供應器,2301,2691716,-1.81
電子上游-IC-製造,2302,4495,0
電子上游-IC-代工,2303,2035955,0.6
電子下游-掃描器,2305,3690,0.45
電子中游-電源供應器,2308,3258485,0.1
電子中游-EMS,2312,255656,-0.44
電子上游-PCB-製造,2313,4248123,-0.2
電子中游-通訊設備,2314,2149,-0.88
電子上游-PCB-製造,2316,203749,0.49
電子中游-EMS,2317,6533626,0.67
電子中游-通訊設備,2321,164,-4.09
電子下游-其他,2323,44267,0
電子下游-筆記型電腦,2324,470113,0
電子上游-被動元件,2327,1779281,0.67
電子上游-連接元件,2328,294863,0.1
電子上游-IC-封測,2329,2159250,9.9
電子上游-IC-代工,2330,31326716,1
電子中游-主機板,2331,90036,-0.65
電子中游-網通,2332,61541,-2.24
電子上游-IC-製造,2337,3610523,0.64
電子上游-IC-半導體設備,2338,33808,-0.96
電子上游-LED照明及光元件,2340,32926,0.38
電子上游-IC-代工,2342,25934,0.87
電子上游-IC-製造,2344,21273570,-0.52
電子中游-網通,2345,3237165,2.1
電子上游-IC-通路,2347,631951,-1.2
傳產-其他,2348,21574,0.12
電子下游-其他,2349,70881,2.74
電子上游-IC-導線架,2351,36923,-0.53
電子下游-顯示器,2352,134572,-1.24
電子下游-筆記型電腦,2353,333799,-0.2
電子中游-機殼,2354,155598,-0.16
電子上游-PCB-製造,2355,31839,-0.47
電子下游-筆記型電腦,2356,449828,-1.51
電子下游-筆記型電腦,2357,4706161,1.29
電子下游-其他,2359,82926,-0.39
電子中游-儀器設備工程,2360,2017129,2.33
電子下游-筆記型電腦,2362,37792,-1.75
電子上游-IC-設計,2363,73903,0.21
電子下游-筆記型電腦,2364,11800,-1.18
電子下游-電腦周邊,2365,43299,-0.14
電子上游-PCB-製造,2367,490884,3.66
電子上游-PCB-製造,2368,6938720,4.34
電子上游-IC-封測,2369,544155,4.7
傳產-電機,2371,631667,1.11
電子下游-資訊通路,2373,1186,-0.18
電子下游-數位相機,2374,198864,0
電子上游-被動元件,2375,101628,0.11
電子中游-主機板,2376,403660,0
電子中游-主機板,2377,840054,-1.84
電子上游-IC-設計,2379,758137,-1.02
電子下游-掃描器,2380,458,1.85
電子下游-筆記型電腦,2382,4359148,-0.38
電子上游-PCB-材料設備,2383,3007782,-2.96
電子下游-電腦周邊,2385,575542,-2.54
電子中游-NB與手機零組件,2387,12427,-1.14
電子上游-IC-設計,2388,195434,-2.38
電子下游-安全監控,2390,1873,-0.3
電子上游-連接元件,2392,75636,-1.33
電子上游-LED照明及光元件,2393,652774,-1.83
電子下游-工業電腦,2395,184787,-0.52
電子下游-工業電腦,2397,7941,-0.81
電子中游-主機板,2399,417371,1.35
電子上游-IC-設計,2401,24743,0.5
電子上游-PCB-製造,2402,1151451,-1.85
電子中游-儀器設備工程,2404,2155312,1.73
電子中游-主機板,2405,21862,-1.63
電子下游-太陽能,2406,464405,3.21
電子上游-記憶體製造,2408,14843503,0
電子中游-LCD-TFT面板,2409,409012,-0.44
電子下游-電信服務,2412,341731,0.77
電子中游-電源供應器,2413,964988,9.95
電子下游-資訊通路,2414,2180,0.12
電子中游-聲學元件,2415,2462,-0.78
電子中游-PC介面卡,2417,120777,9.89
電子中游-通訊設備,2419,26887,-0.6
電子中游-電源供應器,2420,6099,-0.2
電子中游-散熱零組件,2421,782228,1.9
電子中游-儀器設備工程,2423,7738,2.17
電子中游-通訊設備,2424,3143,-2.89
電子中游-主機板,2425,5024,-1.14
電子上游-LED照明及光元件,2426,5310,0.29
軟體-系統整合,2427,12129,-0.37
電子上游-被動元件,2428,66943,-0.87
電子上游-LED照明及光元件,2429,38669,-1.91
電子下游-資訊通路,2430,1988,-0.65
電子中游-電源供應器,2431,3261,0
電子中游-NB與手機零組件,2432,1110,-2.29
電子下游-資訊通路,2433,627,0.21
電子上游-IC-製造,2434,679,0
電子上游-IC-設計,2436,50976,1.57
電子上游-LED照明及光元件,2438,699,-0.7
電子下游-消費電子,2439,447182,-0.41
電子上游-連接元件,2440,7367,3.14
電子上游-IC-封測,2441,1278648,3.01
傳產-營建,2442,9167,0.19
電子中游-網通,2444,1832,1.75
電子上游-IC-封測,2449,2490799,1.83
電子下游-資訊通路,2450,1772,0.17
電子上游-記憶體銷售,2451,1615475,-1.92
軟體-系統整合,2453,12450,-0.75
電子上游-IC-設計,2454,4464818,0.36
電子上游-半導體元件,2455,933291,1.29
電子中游-電源供應器,2457,79041,0.34
電子上游-IC-設計,2458,520836,-1.19
電子中游-其他,2459,1455,0
電子上游-連接元件,2460,13719,3.47
電子中游-其他,2461,3212,0.34
電子上游-連接元件,2462,1090,0.44
電子中游-儀器設備工程,2464,79619,0.16
電子中游-主機板,2465,15499,0.17
電子上游-LED照明及光元件,2466,267858,1.47
電子上游-PCB-材料設備,2467,520413,1.72
軟體-系統整合,2468,17508,0.71
軟體-系統整合,2471,3864,0.6
電子上游-被動元件,2472,150477,-0.47
電子中游-機殼,2474,1176383,0
電子上游-連接元件,2476,82849,-0.23
電子下游-消費電子,2477,3196,0.62
電子上游-被動元件,2478,38572,1.62
軟體-系統整合,2480,13145,-0.66
電子上游-IC-製造,2481,626122,-1.35
電子下游-商業自動化,2482,1507,1.15
電子上游-IC-導線架,2483,617,0.54
電子上游-被動元件,2484,8743,-1.69
電子中游-通訊設備,2485,792689,-1.74
電子上游-IC-導線架,2486,215499,0.11
電子下游-消費電子,2488,7002,0.55
電子下游-顯示器,2489,28717,0
傳產-照明,2491,30048,2.17
電子上游-被動元件,2492,339137,0.87
電子上游-PCB-材料設備,2493,413787,8.17
電子中游-磁碟陣列,2495,437781,1.11
傳產-文創娛樂,2496,2557,0.29
傳產-汽車零組件,2497,52163,4.28
電子下游-手機製造,2498,360231,-1.6
傳產-營建,2501,45059,-0.42
傳產-營建,2504,412262,-2.34
傳產-營建,2505,2473,-0.5
傳產-營建,2506,1172,-0.11
傳產-營建,2509,3745,1.62
傳產-營建,2511,6690,0.49
傳產-營建,2514,500,0.68
傳產-營建,2515,118591,1.12
傳產-營建,2516,1684,-0.33
傳產-營建,2520,396923,0.28
傳產-營建,2524,4038,-1.02
傳產-營建,2527,6347,0.34
傳產-營建,2528,34391,-2.39
傳產-營建,2530,28240,0
傳產-營建,2534,7535,-0.48
傳產-營建,2535,64472,0.32
傳產-營建,2536,6550,-0.75
傳產-營建,2537,36905,0.81
傳產-營建,2538,1797,0
傳產-營建,2539,18525,0.62
傳產-營建,2540,60554,1.35
傳產-營建,2542,150602,0.25
傳產-營建,2543,50749,-1.12
傳產-營建,2545,11798,0.5
傳產-營建,2546,11146,0.79
傳產-營建,2547,38455,-0.9
傳產-營建,2548,201107,-0.41
傳產-營建,2596,10729,1.57
傳產-營建,2597,33171,0
傳產-百貨,2601,8170,-0.91
傳產-航運,2603,2767986,1.33
傳產-航運,2605,115513,0.57
傳產-航運,2606,408100,1.64
傳產-航運,2607,115198,1.38
傳產-航運,2608,1705,0
傳產-航運,2609,1363966,1.45
傳產-航運,2610,506944,0.75
傳產-航運,2611,3052,0
傳產-航運,2612,53296,0.5
傳產-航運,2613,9440,0.21
傳產-其他,2614,72231,0.43
傳產-航運,2615,522129,1.4
傳產-其他,2616,1701,-0.37
傳產-航運,2617,11455,-0.16
傳產-航運,2618,559711,-0.14
傳產-航運,2630,120363,-1.11
傳產-航運,2633,50840,-0.18
傳產-航運,2634,187060,-0.78
傳產-航運,2636,12780,0
傳產-航運,2637,202635,1.91
傳產-其他,2640,1458,-0.76
傳產-航運,2641,38611,0.99
傳產-航運,2642,1145,-0.19
傳產-航運,2643,2197,0
傳產-電機,2645,747957,0.68
傳產-航運,2646,134782,1.48
傳產-觀光,2701,163,-0.45
傳產-觀光,2702,267,0
傳產-觀光,2704,1274,-0.34
傳產-觀光,2705,1467,-0.6
傳產-觀光,2706,511,0
傳產-觀光,2707,6215,0.26
傳產-觀光,2712,167,0
傳產-營建,2718,107,1.15
傳產-觀光,2719,411,-0.98
傳產-觀光,2722,1041,0.19
傳產-觀光,2723,15679,0.57
傳產-其他,2724,49,5.01
傳產-觀光,2726,1941,-1.16
傳產-觀光,2727,53719,-0.23
傳產-觀光,2729,911,-0.28
傳產-觀光,2731,65219,0.91
傳產-觀光,2732,787,-0.56
傳產-觀光,2734,886,-0.27
傳產-觀光,2736,1052,-0.68
傳產-觀光,2739,1130,0
傳產-觀光,2740,476,-1.71
傳產-觀光,2743,7015,1.01
傳產-觀光,2745,7445,0.47
傳產-觀光,2748,2798,0.94
傳產-食品,2751,848,-0.16
傳產-觀光,2752,1386,-0.24
傳產-觀光,2753,43379,-0.26
傳產-觀光,2754,1493,0
傳產-觀光,2755,3602,-0.82
傳產-觀光,2756,5328,-1.37
傳產-運動休閒,2762,1395,-0.39
金融-銀行,2801,223127,-0.72
金融-銀行,2812,203790,-0.24
金融-保險,2816,3356,-0.34
金融-證券,2820,8882,0.3
金融-保險,2832,7374,-1.18
金融-銀行,2834,224846,-0.62
金融-銀行,2836,15771,-1.2
金融-銀行,2838,50167,-0.26
金融-銀行,2845,35572,0
金融-銀行,2849,160,0.75
金融-保險,2850,31847,-0.85
金融-保險,2851,18225,0.38
金融-保險,2852,10072,-0.36
金融-證券,2855,58033,-0.42
金融-保險,2867,337554,1.01
金融-金控,2880,1731057,1.09
金融-金控,2881,1262701,-1.02
金融-金控,2882,2608953,-1.45
金融-金控,2883,566146,-1.14
金融-金控,2884,3110186,0.59
金融-金控,2885,944349,-0.25
金融-金控,2886,581357,-0.25
金融-金控,2887,5646348,-0.72
金融-金控,2889,44165,0
金融-金控,2890,582806,0.35
金融-金控,2891,2527481,-0.99
金融-金控,2892,2020817,0.68
金融-銀行,2897,17054,-0.43
傳產-百貨,2901,60,0
傳產-百貨,2903,134360,0.45
傳產-航運,2904,462,0.59
傳產-百貨,2905,13211,-0.63
傳產-百貨,2906,1055,-0.39
傳產-百貨,2908,5126,-0.49
傳產-百貨,2910,149,-0.24
傳產-百貨,2911,85,-0.21
傳產-百貨,2912,479006,0.68
傳產-百貨,2913,13508,-0.37
傳產-百貨,2915,74459,0
傳產-百貨,2916,1172,-0.2
傳產-營建,2923,86,2.02
傳產-百貨,2924,0,0
傳產-文創娛樂,2926,475,0.25
傳產-百貨,2929,1175,0.63
電子下游-資訊通路,2937,1,0
傳產-百貨,2939,324,-0.22
傳產-其他,2941,2,-0.11
傳產-百貨,2945,309,0
傳產-百貨,2947,1404,0.12
傳產-其他,2948,96,0
軟體-其他,2949,24,-0.86
電子中游-電源供應器,3002,129981,4.49
電子上游-連接元件,3003,4741,-0.1
傳產-航運,3004,24219,0
電子下游-筆記型電腦,3005,308502,-1.27
電子上游-記憶體IC設計,3006,5926860,8.92
電子中游-光學鏡片,3008,4970907,6
電子上游-IC-通路,3010,155928,-1.77
電子上游-連接元件,3011,32375,4.81
電子中游-機殼,3013,244365,0
電子上游-記憶體IC設計,3014,61568,-0.86
電子中游-電源供應器,3015,14126,-0.94
電子上游-晶圓材料,3016,66203,2.55
電子中游-NB與手機零組件,3017,3757315,1.33
傳產-電機,3018,803,-1.26
電子中游-光學鏡片,3019,210247,0
電子上游-連接元件,3021,1138,0
電子下游-工業電腦,3022,41810,-0.31
電子上游-連接元件,3023,131174,-1.01
電子下游-消費電子,3024,7643,1.33
電子中游-通訊設備,3025,133816,-1.47
電子上游-被動元件,3026,51881,0.7
電子下游-太陽能,3027,13971,-1.51
電子上游-IC-通路,3028,35433,-0.39
軟體-系統整合,3029,87233,-0.9
電子中游-儀器設備工程,3030,1330438,3.11
電子上游-LED照明及光元件,3031,3370,-1.25
電子中游-機殼,3032,28509,-0.26
電子上游-IC-通路,3033,32355,-0.65
電子上游-IC-設計,3034,498950,-0.93
電子上游-IP/ASIC,3035,190133,0.3
電子上游-IC-通路,3036,1799683,-1.75
電子上游-ABF,3037,3592521,1.61
電子中游-LCD-STN面板,3038,10868,0.21
電子下游-消費電子,3040,3138,0.35
電子上游-IC-設計,3041,12079,1.02
電子上游-被動元件,3042,155466,-1.33
電子中游-變壓器與UPS,3043,1890,-1.16
